Cool,Warm,CCT,Lux
255,0,6050,1960
255,20,5892,1990
255,40,5745,2038
255,60,5620,2085
255,80,5505,2131
255,100,5393,2175
255,120,5307,2222
255,140,5220,2267
255,160,5136,2311
255,180,5063,2354
255,200,4992,2400
255,220,4922,2447
255,240,4892,2462
255,255,4839,2500
250,255,4827,2456
240,255,4795,2383
230,255,4762,2311
220,255,4728,2236
210,255,4693,2162
200,255,4656,2087
190,255,4615,2013
180,255,4574,1940
170,255,4528,1867
160,255,4482,1792
150,255,4436,1717
140,255,4385,1641
130,255,4320,1566
120,255,4272,1491
110,255,4210,1417
100,255,4144,1340
90,255,4075,1262
80,255,3999,1183
70,255,3915,1125
60,255,3830,1042
50,255,3735,962
40,255,3630,883
30,255,3520,806
20,255,3394,728
10,255,3260,652
0,255,3165,603
